Overall_Accuracy,Average_Precision,Average_Recall,Average_F1-Score,Malicious_Precision,Malicious_Recall,Malicious_F1-score,Benign_Precision,Benign_Recall,Benign_F1-score,True_Negatives,False_Positives,False_Negatives,True_Positives
0.927639637,0.893323362,0.852119397,0.870737669,0.843356112,0.734152951,0.784974734,0.943290611,0.970085842,0.956500604,66901,2063,4022,11107
0.926902358,0.8928605,0.849657568,0.869073408,0.843453656,0.72899729,0.782059918,0.942267344,0.970317847,0.956086898,66917,2047,4100,11029
0.928127193,0.89399763,0.853268019,0.871699018,0.844259189,0.736334193,0.78661206,0.943736072,0.970201844,0.956785975,66909,2055,3989,11140
0.927948819,0.891979208,0.855197383,0.872003101,0.839242968,0.741555952,0.787381128,0.944715447,0.968838814,0.956625074,66815,2149,3910,11219
0.929114195,0.896784349,0.853766586,0.873135612,0.84981685,0.7360698,0.788864095,0.943751849,0.971463372,0.95740713,66996,1968,3993,11136
0.928448266,0.894634264,0.85377336,0.872261379,0.845360825,0.737127371,0.787542813,0.943907702,0.970419349,0.956979945,66924,2040,3977,11152
0.928602856,0.89529705,0.853558025,0.872404377,0.846826302,0.736334193,0.787724509,0.943767797,0.970781857,0.957084245,66949,2015,3989,11140
0.928460157,0.89643201,0.851536102,0.871649109,0.850042252,0.731376826,0.786257372,0.942821768,0.971695377,0.957040845,67012,1952,4064,11065
0.927175865,0.892692617,0.851011074,0.869817439,0.842525675,0.732037808,0.783405249,0.942859559,0.96998434,0.95622963,66894,2070,4054,11075
0.928174759,0.893594035,0.853993591,0.871964096,0.843110608,0.738118845,0.787129062,0.944077462,0.969868337,0.95679913,66886,2078,3962,11167
0.927699095,0.892619843,0.853290801,0.871145131,0.841394401,0.737061273,0.78577972,0.943845285,0.969520329,0.956510543,66862,2102,3978,11151
0.926747767,0.891137851,0.851266047,0.869332223,0.83919522,0.733359773,0.782716049,0.943080483,0.969172322,0.955948397,66838,2126,4034,11095
0.927972602,0.892871591,0.854102529,0.871729804,0.841566265,0.738713729,0.786792918,0.944176917,0.969491329,0.956666691,66860,2104,3953,11176
0.927936927,0.892833692,0.854003381,0.871655474,0.841530466,0.738515434,0.786664789,0.944136918,0.969491329,0.956646158,66860,2104,3956,11173
0.928067735,0.894014255,0.852999577,0.871545855,0.844409043,0.735739309,0.786337466,0.943619467,0.970259846,0.956754245,66913,2051,3998,11131
0.928531507,0.89472187,0.854004704,0.87243513,0.845442837,0.737590059,0.787842417,0.944000903,0.970419349,0.957027843,66924,2040,3970,11159
0.926902358,0.890458105,0.85283084,0.869976957,0.837111545,0.737127371,0.783944325,0.943804666,0.968534308,0.95600959,66794,2170,3977,11152
0.926628851,0.891459211,0.85034218,0.868913556,0.840258261,0.731178531,0.781932565,0.942660162,0.969505829,0.955894547,66861,2103,4067,11062
0.927568287,0.893926756,0.851043938,0.87033957,0.845067196,0.731509022,0.784198406,0.942786315,0.970578853,0.956480734,66935,2029,4062,11067
0.927021274,0.891683108,0.85169079,0.869809122,0.84014223,0.734020755,0.783504427,0.943223986,0.969360826,0.956113817,66851,2113,4024,11105
